primary,synonyms,description,
EIF3KP1,,,
EIF3KP2,,,
EIF3KP3,,,
EIF3L,EIF3EIP+AHw-EIF3S11+AHw-EIF3S6IP+AHw-HSPC021+AHw-HSPC025+AHw-MSTP005+AHw-HSPC021+AHw-HSPC025+AHw-EIF3S11+AHw-EIF3S6IP+AHw-EIF3EIP+AHw-EIF3EIP+AHw-EIF3S6IP,eukaryotic translation initiation factor 3 subunit L,
EIF3LP1,EIF3EIPP1+AHw-EIF3S6IPP,eukaryotic translation initiation factor 3 subunit L pseudogene 1,
EIF3LP2,EIF3EIPP2+AHw-EIF3S6IPP2,eukaryotic translation initiation factor 3 subunit L pseudogene 2,
EIF3LP3,,,
EIF3M,B5+AHw-GA17+AHw-PCID1+AHw-TANGO7+AHw-hfl+AC0-B5+AHw-hfl+AC0-B5+AHw-FLJ29030+AHw-GA17+AHw-eIF3m+AHw-TANGO7+AHw-PCID1+AHw-HFLB5+AHw-PCID1,eukaryotic translation initiation factor 3 subunit M,
EIF3S1,EIF3J,,
EIF3S2,EIF3I,,
EIF3S3,EIF3H,,
EIF3S6,EIF3E+AHw-INT6,,
EIF3S8,EIF3C,,
EIF3S9,EIF3B,,
EIF4A1,DDX2A+AHw-EIF+AC0-4A+AHw-EIF4A+AHw-eIF+AC0-4A+AC0-I+AHw-eIF4A+AC0-I+AHw-DDX2A+AHw-EIF+AC0-4A+AHw-EIF4A+AHw-DDX2A+AHw-EIF4A,eukaryotic translation initiation factor 4A1,
EIF4A1P1,EIF4A1P,eukaryotic translation initiation factor 4A1 pseudogene 1,
EIF4A1P10,,,
EIF4A1P11,,,
EIF4A1P12,,,
EIF4A1P13,,,
EIF4A1P2,,,
EIF4A1P3,,,
EIF4A1P4,,,
EIF4A1P5,,,
EIF4A1P6,,,
EIF4A1P7,,,
EIF4A1P8,,,
EIF4A1P9,,,
EIF4A2,BM+AC0-010+AHw-DDX2B+AHw-EIF4A+AHw-EIF4F+AHw-eIF+AC0-4A+AC0-II+AHw-eIF4A+AC0-II+AHw-DDX2B+AHw-EIF4A+AHw-BM+AC0-010+AHw-EIF4F+AHw-DDX2B+AHw-EIF4F,eukaryotic translation initiation factor 4A2,
EIF4A2P1,,,
EIF4A2P2,,,
EIF4A2P3,,,
EIF4A2P4,,,
EIF4A2P5,,,
EIF4A3,DDX48+AHw-Fal1+AHw-MUK34+AHw-NMP265+AHw-NUK34+AHw-RCPS+AHw-eIF4AIII+AHw-KIAA0111+AHw-EIF4AIII+AHw-Fal1+AHw-DDX48+AHw-DDX48+AHw-KIAA0111,eukaryotic translation initiation factor 4A3,
EIF4A3P1,,,
EIF4B,EIF+AC0-4B+AHw-PRO1843,eukaryotic translation initiation factor 4B,
EIF4BP1,EIF4BP,eukaryotic translation initiation factor 4B pseudogene 1,
EIF4BP2,,,
EIF4BP3,,,
EIF4BP4,,,
EIF4BP5,,,
EIF4BP6,,,
EIF4BP7,,,
EIF4BP8,,,
EIF4BP9,,,
EIF4E,AUTS19+AHw-CBP+AHw-EIF4E1+AHw-EIF4EL1+AHw-EIF4F+AHw-eIF+AC0-4E+AHw-EIF4E1+AHw-EIF4EL1+AHw-EIF4F+AHw-EIF4EL1+AHw-EIF4F,eukaryotic translation initiation factor 4E,
EIF4E1B,FLJ36951,,
EIF4E2,4E+AC0-LP+AHw-4EHP+AHw-EIF4EL3+AHw-IF4e+AHw-h4EHP+AHw-IF4e+AHw-4EHP+AHw-EIF4EL3+AHw-EIF4EL3,eukaryotic translation initiation factor 4E family member 2,
EIF4E2P1,EIF4EL4+AHw-dJ1049G11.3,eukaryotic translation initiation factor 4E family member 2 pseudogene 1,
EIF4E2P2,,,
EIF4E3,eIF+AC0-4E3+AHw-eIF4E+AC0-3+AHw-MGC39820,eukaryotic translation initiation factor 4E family member 3,
EIF4EBP1,4E+AC0-BP1+AHw-4EBP1+AHw-BP+AC0-1+AHw-PHAS+AC0-I+AHw-PHAS+AC0-I+AHw-4E+AC0-BP1,eukaryotic translation initiation factor 4E binding protein 1,
EIF4EBP1P1,EIF4EBP1P,eukaryotic translation initiation factor 4E binding protein 1 pseudogene 1,
EIF4EBP1P2,,,
EIF4EBP2,4EBP2+AHw-PHASII,eukaryotic translation initiation factor 4E binding protein 2,
EIF4EBP2P1,EIF4EBP2P+AHw-dJ862K6.3,eukaryotic translation initiation factor 4E binding protein 2 pseudogene 1,
EIF4EBP2P2,,,
EIF4EBP2P3,,,
EIF4EBP3,4E+AC0-BP3+AHw-4EBP3+AHw-4E+AC0-BP3,eukaryotic translation initiation factor 4E binding protein 3,
EIF4ENIF1,4E+AC0-T+AHw-Clast4+AHw-4E+AC0-T+AHw-FLJ21601+AHw-Clast4+AHw-2610509L04Rik,eukaryotic translation initiation factor 4E nuclear import factor 1,
EIF4EP1,EIF4EL2+AHw-dJ1022P6.3,eukaryotic translation initiation factor 4E pseudogene 1,
EIF4EP2,,,
EIF4EP3,,,
EIF4EP4,,,
EIF4EP5,,,
EIF4G1,EIF+AC0-4G1+AHw-EIF4F+AHw-EIF4G+AHw-EIF4GI+AHw-P220+AHw-PARK18+AHw-p220+AHw-PARK18+AHw-EIF4G+AHw-EIF4F+AHw-EIF4F+AHw-EIF4G+AHw-EIF4GI,eukaryotic translation initiation factor 4 gamma 1,
EIF4G1 variant protein,,,
EIF4G2,AAG1+AHw-DAP5+AHw-NAT1+AHw-P97+AHw-DAP5+AHw-NAT1+AHw-p97+AHw-DAP5,eukaryotic translation initiation factor 4 gamma 2,
EIF4G3,eIF+AC0-4G 3+AHw-eIF4G 3+AHw-eIF4GII+AHw-eIF4GII,eukaryotic translation initiation factor 4 gamma 3,
EIF4GI,,,
EIF4H,WBSCR1+AHw-WSCR1+AHw-eIF+AC0-4H+AHw-WSCR1+AHw-KIAA0038+AHw-WBSCR1+AHw-KIAA0038+AHw-WBSCR1+AHw-WSCR1,eukaryotic translation initiation factor 4H,
EIF4HP1,,,
EIF4HP2,,,
EIF5,EIF+AC0-5+AHw-EIF+AC0-5A,eukaryotic translation initiation factor 5,
EIF5A,EIF+AC0-5A+AHw-EIF5A1+AHw-eIF5AI+AHw-EIF5A1+AHw-EIF+AC0-5A+AHw-MGC99547+AHw-MGC104255,eukaryotic translation initiation factor 5A,
EIF5A1,EIF5A,,
EIF5A2,EIF+AC0-5A2+AHw-eIF5AII,eukaryotic translation initiation factor 5A2,
EIF5A2P1,,,
EIF5AL1,EIF5AP1+AHw-bA342M3.3+AHw-bA342M3.3+AHw-EIF5AP1,eukaryotic translation initiation factor 5A+AC0-like 1,
EIF5AP2,,,
EIF5AP3,,,
EIF5AP4,EIF5AL3,eukaryotic translation initiation factor 5A pseudogene 4,
EIF5B,IF2+AHw-IF2+AHw-KIAA0741+AHw-DKFZp434I036+AHw-FLJ10524+AHw-IF2+AHw-KIAA0741,eukaryotic translation initiation factor 5B,
EIF5P1,,,
EIF5P2,,,
EIF6,CAB+AHw-EIF3A+AHw-ITGB4BP+AHw-b(2)gcn+AHw-eIF+AC0-6+AHw-p27(BBP)+AHw-p27BBP+AHw-p27BBP+AHw-b(2)gcn+AHw-EIF3A+AHw-ITGB4BP+AHw-EIF3A+AHw-ITGB4BP,eukaryotic translation initiation factor 6,
EIG2,EGI14,Epilepsy+AHw- idiopathic generalized+AHw- susceptibility to 2,
EIG3,,,
EIG4,,,
EIG5,,,
EIM,,,
EIPR1,EIPR+AC0-1+AHw-TSSC1+AHw-EIPR+AC0-1+AHw-TSSC1+AHw-TSSC1,EARP complex and GARP complex interacting protein 1,
EIPR1+AC0-IT1,TSSC1+AC0-IT1,EIPR1 intronic transcript 1,
EJM2,EIG7+AHw-JME,epilepsy+AHw- juvenile myoclonic 2,
EJM3,,,
EJM4,,,
EJM9,,,
EKD2,,,
EL149,,,
EL52,HEL+AC0-S+AC0-65p+AHw-HSP90AA1,,
ELA2,,,
ELA2A,,,
ELA2B,,,
ELA3A,,,
ELABELA,,,
ELAC1,D29+AHw-D29+AHw-D29,elaC ribonuclease Z 1,
ELAC2,COXPD17+AHw-ELC2+AHw-HPC2+AHw-FLJ10530+AHw-HPC2+AHw-HPC2,elaC ribonuclease Z 2,
ELANE,ELA2+AHw-GE+AHw-HLE+AHw-HNE+AHw-NE+AHw-PMN+AC0-E+AHw-SCN1+AHw-NE+AHw-HNE+AHw-HLE+AHw-ELA2+AHw-ELA2,elastase+AHw- neutrophil expressed,
ELAVL1,ELAV1+AHw-HUR+AHw-Hua+AHw-MelG+AHw-HuR+AHw-Hua+AHw-MelG+AHw-HUR+AHw-HUR,ELAV like RNA binding protein 1,
ELAVL2,HEL+AC0-N1+AHw-HELN1+AHw-HUB+AHw-HuB+AHw-HEL+AC0-N1+AHw-HUB,ELAV like RNA binding protein 2,
ELAVL3,HUC+AHw-HUCL+AHw-PLE21+AHw-HUC+AHw-PLE21+AHw-DKFZp547J036+AHw-HUCL+AHw-MGC20653+AHw-HUC+AHw-PLE21,ELAV like RNA binding protein 3,
ELAVL4,HUD+AHw-PNEM+AHw-PNEM+AHw-HUD+AHw-HUD+AHw-PNEM,ELAV like RNA binding protein 4,
ELDR,Fabl+AHw-LINC01156,EGFR long non+AC0-coding downstream RNA,
ELE1,ret+AHw-TK,,
ELE1+AC0-RET,,,
ELF1,EFTUD1+AHw-RIA1,E74 like ETS transcription factor 1,
ELF2,EU32+AHw-NERF+AHw-NERF+AC0-1A+AHw-NERF+AC0-1B+AHw-NERF+AC0-1a,b+AHw-NERF+AC0-2+AHw-EU32+AHw-NERF+AHw-NERF+AC0-2+AHw-NERF+AC0-1A+AHw-NERF+AC0-1B+AHw-NERF,E74 like ETS transcription factor 2
ELF2P1,,,
ELF2P2,,,
ELF2P3,,,
ELF2P4,,,
ELF3,EPR+AC0-1+AHw-ERT+AHw-ESE+AC0-1+AHw-ESX+AHw-EPR+AC0-1+AHw-ESE+AC0-1+AHw-ERT+AHw-ESX+AHw-ERT+AHw-ESX+AHw-JEN,E74 like ETS transcription factor 3,
ELF3+AC0-AS1,,,
ELF4,ELFR+AHw-MEF+AHw-MEF+AHw-ELFR+AHw-ELFR+AHw-MEF,E74 like ETS transcription factor 4,
ELF5,ESE2+AHw-ESE2,E74 like ETS transcription factor 5,
ELFN1,PPP1R28+AHw-PPP1R28+AHw-PPP1R28,extracellular leucine rich repeat and fibronectin type III domain containing 1,
ELFN1+AC0-AS1,MYCLo+AC0-2,ELFN1 antisense RNA 1,
ELFN2,LRRC62+AHw-PPP1R29+AHw-dJ63G5.3+AHw-KIAA1904+AHw-LRRC62+AHw-PPP1R29+AHw-KIAA1904+AHw-LRRC62+AHw-PPP1R29,extracellular leucine rich repeat and fibronectin type III domain containing 2,
ELK1,,,
ELK1P1,,,
ELK2AP,ELK2+AHw-ELK2.1+AHw-ELK2P1,ELK2A+AHw- member of ETS oncogene family+AHw- pseudogene,
ELK2BP,ELK2.2+AHw-ELK2P2,ELK2B+AHw- member of ETS oncogene family+AHw- pseudogene,
ELK3,ERP+AHw-NET+AHw-SAP+AC0-2+AHw-SAP2+AHw-ERP+AHw-NET+AHw-SAP2+AHw-NET+AHw-SAP2,ELK3+AHw- ETS transcription factor,
ELK4,SAP1+AHw-SAP1+AHw-SAP1,ELK4+AHw- ETS transcription factor,
ELL,C19orf17+AHw-ELL1+AHw-MEN+AHw-PPP1R68+AHw-Men+AHw-ELL1+AHw-PPP1R68+AHw-C19orf17+AHw-C19orf17,elongation factor for RNA polymerase II,
ELL2,MRCCAT1+AHw-MRCCAT1,elongation factor for RNA polymerase II 2,
ELL2P1,,,
ELL2P2,,,
ELL2P3,,,
ELL2P4,,,
ELL3,FLJ22637,,
ELMO1,CED+AC0-12+AHw-CED12+AHw-ELMO+AC0-1+AHw-KIAA0281+AHw-CED12+AHw-ELMO+AC0-1+AHw-CED+AC0-12+AHw-KIAA0281,engulfment and cell motility 1,
ELMO1+AC0-AS1,,,
ELMO2,CED+AC0-12+AHw-CED12+AHw-Ced+AC0-12A+AHw-ELMO+AC0-2+AHw-VMPI+AHw-CED12+AHw-ELMO+AC0-2+AHw-CED+AC0-12+AHw-KIAA1834+AHw-FLJ11656+AHw-CED12A+AHw-KIAA1834,engulfment and cell motility 2,
ELMO2P1,,,
ELMO3,CED+AC0-12+AHw-CED12+AHw-ELMO+AC0-3+AHw-FLJ13824+AHw-CED12+AHw-ELMO+AC0-3+AHw-CED+AC0-12,engulfment and cell motility 3,
ELMOD1,DKFZp547C176,,
ELMOD2,9830169G11Rik+AHw-MGC10084,ELMO domain containing 2,
ELMOD3,DFNB88+AHw-LST3+AHw-RBED1+AHw-RBM29+AHw-FLJ21977+AHw-RBM29+AHw-RBED1+AHw-DFNB88+AHw-RBED1+AHw-RBM29,ELMO domain containing 3,
ELMSAN1,C14orf117+AHw-C14orf43+AHw-LSR68+AHw-MIDEAS+AHw-c14+AF8-5541+AHw-LSR68+AHw-C14orf117+AHw-C14orf43+AHw-C14orf117+AHw-C14orf43,ELM2 and Myb/SANT domain containing 1,
ELN,ADCL1+AHw-SVAS+AHw-WBS+AHw-WS+AHw-WBS+AHw-WS+AHw-SVAS,elastin,
ELN+AC0-AS1,CTB+AC0-51J22.1,ELN antisense RNA 1,
ELOA,SIII+AHw-SIII p110+AHw-TCEB3+AHw-TCEB3A+AHw-SIII+AHw-TCEB3A+AHw-TCEB3+AHw-TCEB3,elongin A,
ELOA+AC0-AS1,TCEB3+AC0-AS1,ELOA antisense RNA 1,
ELOA2,HsT832+AHw-TCEB3B+AHw-TCEB3L+AHw-HsT832+AHw-TCEB3L+AHw-TCEB3B+AHw-TCEB3B+AHw-TCEB3L,elongin A2,
ELOA3,ELOA3A+AHw-HsT829+AHw-TCEB3C+AHw-TCEB3L2+AHw-HsT829+AHw-TCEB3L2+AHw-ELOA3A+AHw-TCEB3C+AHw-TCEB3C+AHw-TCEB3L2,elongin A3,
ELOA3B,ELOA3L1+AHw-EloA3C+AHw-HsT828+AHw-TCEB3CL+AHw-eloA3+AC0-like+AC0-1+AHw-HsT828+AHw-TCEB3CL+AHw-TCEB3CL,elongin A3 family member B,
ELOA3C,,,
ELOA3D,ELOA3L2+AHw-TCEB3CL2+AHw-TCEB3CL2+AHw-TCEB3CL2,elongin A3 family member D,
ELOB,SIII+AHw-TCEB2+AHw-SIII+AHw-TCEB2+AHw-TCEB2,elongin B,
ELOBP1,TCEB2P1,elongin B pseudogene 1,
ELOBP2,TCEB2P2,elongin B pseudogene 2,
ELOBP3,TCEB2P3,elongin B pseudogene 3,
ELOBP4,TCEB2P4,elongin B pseudogene 4,
ELOC,SIII+AHw-TCEB1+AHw-SIII+AHw-TCEB1+AHw-TCEB1,elongin C,
ELOCP10,TCEB1P10,elongin C pseudogene 10,
ELOCP11,TCEB1P11,elongin C pseudogene 11,
ELOCP12,TCEB1P12,elongin C pseudogene 12,
ELOCP13,TCEB1P13,elongin C pseudogene 13,
ELOCP14,TCEB1P14,elongin C pseudogene 14,
ELOCP15,TCEB1P15,elongin C pseudogene 15,
ELOCP16,TCEB1P16,elongin C pseudogene 16,
ELOCP17,TCEB1P17,elongin C pseudogene 17,
ELOCP18,TCEB1P18,elongin C pseudogene 18,
ELOCP19,TCEB1P19,elongin C pseudogene 19,
ELOCP2,TCEB1P2,elongin C pseudogene 2,
ELOCP20,TCEB1P20,elongin C pseudogene 20,
ELOCP21,TCEB1P21,elongin C pseudogene 21,
ELOCP22,TCEB1P22,elongin C pseudogene 22,
ELOCP23,TCEB1P23,elongin C pseudogene 23,
ELOCP24,TCEB1P24+AHw-TCEB1P25,elongin C pseudogene 24,
ELOCP26,TCEB1P26,elongin C pseudogene 26,
ELOCP27,TCEB1P27,elongin C pseudogene 27,
ELOCP28,TCEB1P28,elongin C pseudogene 28,
ELOCP29,TCEB1P29,elongin C pseudogene 29,
ELOCP3,TCEB1P3+AHw-dJ254P11.1,elongin C pseudogene 3,
ELOCP30,TCEB1P30,elongin C pseudogene 30,
ELOCP31,TCEB1P31,elongin C pseudogene 31,
ELOCP32,TCEB1P32,elongin C pseudogene 32,
ELOCP33,TCEB1P33,elongin C pseudogene 33,
ELOCP34,TCEB1P34,elongin C pseudogene 34,
ELOCP35,TCEB1P35,elongin C pseudogene 35,
ELOCP4,TCEB1P4,elongin C pseudogene 4,
ELOCP5,TCEB1P5,elongin C pseudogene 5,
ELOCP6,TCEB1P6,elongin C pseudogene 6,
ELOCP7,TCEB1P7,elongin C pseudogene 7,
ELOCP8,TCEB1P8,elongin C pseudogene 8,
ELOCP9,TCEB1P9,elongin C pseudogene 9,
ELOF1,ELF1+AHw-MGC4549+AHw-ELF1,elongation factor 1 homolog,
ELOVL1,CGI+AC0-88+AHw-Ssc1+AHw-Ssc1+AHw-SSC1,ELOVL fatty acid elongase 1,
ELOVL2,SSC2+AHw-Ssc2+AHw-SSC2,ELOVL fatty acid elongase 2,
ELOVL2+AC0-AS1,,,
ELOVL3,CIG+AC0-30+AHw-CIG30+AHw-CIG+AC0-30+AHw-CIG30,ELOVL fatty acid elongase 3,
ELOVL4,ADMD+AHw-CT118+AHw-ISQMR+AHw-SCA34+AHw-STGD2+AHw-STGD3+AHw-CT118+AHw-STGD2+AHw-STGD3+AHw-SCA34,ELOVL fatty acid elongase 4,
ELOVL5,HELO1+AHw-SCA38+AHw-dJ483K16.1+AHw-HELO1+AHw-dJ483K16.1+AHw-SCA38+AHw-ELOVL2,ELOVL fatty acid elongase 5,
ELOVL6,FACE+AHw-FAE+AHw-LCE+AHw-FLJ23378+AHw-MGC5487+AHw-LCE+AHw-FACE+AHw-LCE,ELOVL fatty acid elongase 6,
ELOVL7,FLJ23563,,
ELP1,DYS+AHw-FD+AHw-IKAP+AHw-IKBKAP+AHw-IKI3+AHw-TOT1+AHw-IKAP+AHw-TOT1+AHw-IKI3+AHw-DYS+AHw-IKBKAP+AHw-IKAP+AHw-IKBKAP,elongator complex protein 1,
ELP2,MRT58+AHw-SHINC+AC0-2+AHw-STATIP1+AHw-StIP+AHw-FLJ10879+AHw-StIP+AHw-STATIP1+AHw-STATIP1,elongator acetyltransferase complex subunit 2,
ELP3,KAT9+AHw-FLJ10422+AHw-KAT9,elongator acetyltransferase complex subunit 3,
ELP4,AN+AHw-AN2+AHw-C11orf19+AHw-PAX6NEB+AHw-PAXNEB+AHw-dJ68P15A.1+AHw-hELP4+AHw-PAXNEB+AHw-C11orf19+AHw-C11orf19+AHw-PAXNEB,elongator acetyltransferase complex subunit 4,
ELP5,C17orf81+AHw-DERP6+AHw-HSPC002+AHw-MST071+AHw-MSTP071+AHw-DERP6+AHw-C17orf81+AHw-C17orf81+AHw-DERP6,elongator acetyltransferase complex subunit 5,
ELP6,C3orf75+AHw-TMEM103+AHw-FLJ20211+AHw-TMEM103+AHw-C3orf75+AHw-ATP1+AHw-C3orf75+AHw-TMEM103,elongator acetyltransferase complex subunit 6,
ELSPBP1,E12+AHw-EDDM12+AHw-EL149+AHw-HE12+AHw-HE12+AHw-E12+AHw-EDDM12+AHw-E12,epididymal sperm binding protein 1,
ELTD1,,,
EMB,GP70+AHw-MGC71745,embigin,
EMBP1,,,
EMC1,CAVIPMR+AHw-KIAA0090+AHw-KIAA0090+AHw-KIAA0090,ER membrane protein complex subunit 1,
EMC10,C19orf63+AHw-HSM1+AHw-HSS1+AHw-INM02+AHw-HSS1+AHw-HSM1+AHw-C19orf63+AHw-C19orf63+AHw-HSM1+AHw-INM02,ER membrane protein complex subunit 10,
EMC2,KIAA0103+AHw-TTC35+AHw-KIAA0103+AHw-TTC35+AHw-KIAA0103+AHw-TTC35,ER membrane protein complex subunit 2,
EMC3,POB+AHw-TMEM111+AHw-TMEM111+AHw-TMEM111,ER membrane protein complex subunit 3,
EMC3+AC0-AS1,,,
EMC4,PIG17+AHw-TMEM85+AHw-FLJ90746+AHw-MGC24415+AHw-PIG17+AHw-TMEM85+AHw-TMEM85,ER membrane protein complex subunit 4,
EMC6,RAB5IFL+AHw-TMEM93+AHw-MGC2963+AHw-RAB5IFL+AHw-TMEM93+AHw-TMEM93,ER membrane protein complex subunit 6,
EMC7,C11orf3+AHw-C15orf24+AHw-HT022+AHw-ORF1+AC0-FL1+AHw-C11orf3+AHw-C15orf24+AHw-C11orf3+AHw-C15orf24,ER membrane protein complex subunit 7,
EMC8,C16orf2+AHw-C16orf4+AHw-COX4NB+AHw-FAM158B+AHw-NOC4+AHw-FAM158B+AHw-C16orf4+AHw-NOC4+AHw-C16orf2+AHw-COX4NB+AHw-C16orf2+AHw-C16orf4+AHw-COX4AL+AHw-COX4NB+AHw-FAM158B+AHw-NOC4,ER membrane protein complex subunit 8,
EMC9,C14orf122+AHw-CGI+AC0-112+AHw-FAM158A+AHw-CGI+AC0-112+AHw-C14orf122+AHw-FAM158A+AHw-C14orf122+AHw-FAM158A,ER membrane protein complex subunit 9,
EMCN,EMCN2+AHw-MUC14+AHw-MUC14+AHw-EMCN2+AHw-MUC14,endomucin,
EMD,EDMD+AHw-LEMD5+AHw-STA+AHw-STA+AHw-LEMD5+AHw-EDMD+AHw-STA,emerin,
EME1,MMS4L+AHw-SLX2A+AHw-FLJ31364+AHw-MMS4L+AHw-SLX2A+AHw-MMS4,essential meiotic structure+AC0-specific endonuclease 1,
EME2,SLX2B+AHw-gs125+AHw-FLJ00151+AHw-SLX2B,essential meiotic structure+AC0-specific endonuclease subunit 2,
EMG1,C2F+AHw-Grcc2f+AHw-NEP1+AHw-C2F+AHw-NEP1+AHw-Grcc2f+AHw-C2F,EMG1+AHw- N1+AC0-specific pseudouridine methyltransferase,
EMID1,EMI5+AHw-EMU1+AHw-EMU1+AHw-hEmu1+AHw-EMI5+AHw-EMU1,EMI domain containing 1,
EMILIN1,EMI+AHw-EMILIN+AHw-gp115+AHw-DKFZp586M121+AHw-gp115+AHw-EMI,elastin microfibril interfacer 1,
EMILIN2,EMILIN+AC0-2+AHw-FOAP+AC0-10+AHw-FLJ33200+AHw-FOAP+AC0-10,elastin microfibril interfacer 2,
EMILIN3,C20orf130+AHw-EMILIN5+AHw-dJ620E11.4+AHw-dJ620E11.4+AHw-C20orf130+AHw-EMILIN5+AHw-C20orf130+AHw-EMILIN5,elastin microfibril interfacer 3,
EML1,BH+AHw-ELP79+AHw-EMAP+AHw-EMAPL+AHw-HuEMAP+AHw-EMAP+AHw-HuEMAP+AHw-ELP79+AHw-EMAPL+AHw-EMAP1+AHw-EMAPL+AHw-EMAPL1,echinoderm microtubule associated protein like 1,
EML2,ELP70+AHw-EMAP+AC0-2+AHw-EMAP2+AHw-EMAP2+AHw-ELP70+AHw-EMAP+AC0-2+AHw-EMAP2+AHw-EMAPL2,echinoderm microtubule associated protein like 2,
EML2+AC0-AS1,C19orf83,EML2 antisense RNA 1,
EML3,ELP95+AHw-FLJ35827+AHw-ELP95,echinoderm microtubule associated protein like 3,
EML4,C2orf2+AHw-ELP120+AHw-EMAP+AC0-4+AHw-EMAPL4+AHw-ROPP120+AHw-ROPP120+AHw-ELP120+AHw-C2orf2+AHw-C2orf2+AHw-EMAPL4,echinoderm microtubule associated protein like 4,
EML4+AC0-ALK,,,
EML4+AC0-ALK variant 6,,,
EML4+AC0-ALK variant 7,,,
EML4/ALK fusion,,,
EML5,EMAP+AC0-2+AHw-HuEMAP+AC0-2+AHw-EMAP+AC0-2,echinoderm microtubule associated protein like 5,
EML6,FLJ42562+AHw-EML5L,,
EMP1,CL+AC0-20+AHw-EMP+AC0-1+AHw-TMP+AHw-TMP+AHw-CL+AC0-20+AHw-B4B+AHw-TMP,epithelial membrane protein 1,
EMP2,XMP+AHw-XMP+AHw-XMP,epithelial membrane protein 2,
EMP3,YMP+AHw-YMP+AHw-YMP,epithelial membrane protein 3,
EMR2,,,
EMR3,,,
EMS1,,,
EMSY,C11orf30+AHw-GL002+AHw-C11orf30+AHw-C11orf30,EMSY+AHw- BRCA2 interacting transcriptional repressor,
EMWX,,,
EMX1,,,
EMX2,,,
EMX2OS,EMX2+AC0-AS1+AHw-NCRNA00045,EMX2 opposite strand/antisense RNA,
EN1,,,
EN2,,,
ENAH,ENA+AHw-MENA+AHw-NDPP1+AHw-FLJ10773+AHw-NDPP1+AHw-MENA+AHw-MENA,ENAH+AHw- actin regulator,
ENAM,ADAI+AHw-AI1C+AHw-AIH2+AHw-AIH2,enamelin,
ENC1,CCL28+AHw-ENC+AC0-1+AHw-KLHL35+AHw-KLHL37+AHw-NRPB+AHw-PIG10+AHw-TP53I10+AHw-PIG10+AHw-ENC+AC0-1+AHw-TP53I10+AHw-KLHL37+AHw-NRPB+AHw-KLHL37+AHw-NRPB+AHw-PIG10,ectodermal+AC0-neural cortex 1,
END,,,
ENDO1,,,
ENDOD1,KIAA0830+AHw-KIAA0830,,
ENDOG,,,
ENDOGL1,,,
ENDOU,P11+AHw-PP11+AHw-PRSS26+AHw-PP11+AHw-P11+AHw-PRSS26,endonuclease+AHw- poly(U) specific,
ENDOV,FLJ35220,,
ENFL2,,,
ENG,END+AHw-HHT1+AHw-ORW1+AHw-END+AHw-HHT1+AHw-CD105+AHw-ORW1+AHw-ORW+AHw-END,endoglin,
ENGASE,FLJ21865,,
ENHO,C9orf165+AHw-UNQ470+AHw-UNQ470+AHw-C9orf165+AHw-C9orf165,energy homeostasis associated,
ENKD1,C16orf48+AHw-DAKV6410+AHw-DKFZP434A1319+AHw-C16orf48+AHw-C16orf48,enkurin domain containing 1,
ENKUR,C10orf63+AHw-CFAP106+AHw-MGC26778+AHw-enkurin+AHw-CFAP106+AHw-C10orf63+AHw-C10orf63,enkurin+AHw- TRPC channel interacting protein,
ENO1,ENO1L1+AHw-HEL+AC0-S+AC0-17+AHw-MPB1+AHw-NNE+AHw-PPH+AHw-PPH+AHw-MBP+AC0-1+AHw-ENO1L1+AHw-MPB1+AHw-ENO1L1+AHw-MBPB1+AHw-MPB1,enolase 1,
ENO1+AC0-AS1,,,
ENO1+AC0-IT1,,,
ENO1P1,ENO1P,enolase 1 pseudogene 1,
ENO1P2,,,
ENO1P3,,,
ENO1P4,,,
ENO2,HEL+AC0-S+AC0-279+AHw-NSE,enolase 2,
ENO3,GSD13+AHw-MSE,enolase 3,
ENO4,C10orf134+AHw-AC023283.3+AHw-C10orf134+AHw-C10orf134,enolase 4,
ENOPH1,E1+AHw-MASA+AHw-MST145+AHw-mtnC+AHw-MASA+AHw-E1+AHw-mtnC+AHw-MASA,enolase+AC0-phosphatase 1,
ENOSF1,FUCD+AHw-RTS+AHw-TYMSAS+AHw-HSRTSBETA+AHw-rTS+AHw-TYMSAS+AHw-FUCD+AHw-RTS+AHw-TYMSAS,enolase superfamily member 1,
ENOX1,CNOX+AHw-PIG38+AHw-bA64J21.1+AHw-cCNOX+AHw-FLJ10094+AHw-PIG38+AHw-CNOX+AHw-cCNOX,ecto+AC0-NOX disulfide+AC0-thiol exchanger 1,
ENOX1+AC0-AS1,,,
ENOX1+AC0-AS2,,,
ENOX2,APK1+AHw-COVA1+AHw-tNOX+AHw-APK1+AHw-tNOX+AHw-COVA1+AHw-COVA1,ecto+AC0-NOX disulfide+AC0-thiol exchanger 2,
ENPEP,APA+AHw-CD249+AHw-gp160+AHw-gp160+AHw-CD249,glutamyl aminopeptidase,
ENPP1,ARHR2+AHw-COLED+AHw-M6S1+AHw-NPP1+AHw-NPPS+AHw-PC+AC0-1+AHw-PCA1+AHw-PDNP1+AHw-PC+AC0-1+AHw-PCA1+AHw-NPPS+AHw-M6S1+AHw-PDNP1+AHw-M6S1+AHw-NPPS+AHw-PC1+AHw-PDNP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,
