	symbol	associated_ids
38200	FXR2P	9513
38201	LOC283435	283435
38202	HIST3H2BB	128312
38203	GPIBD16	5279
38204	RNVU1-17	101954269
38205	UBQLN4P	285329
38206	LOC100419833	100419833
38207	CTA	5130|105375847
38208	bA425M5.1	170522
38209	RAPGEF1	2889
38210	SCAR4	260415
38211	TCTE1P	170554
38212	MTUS2-AS1	100874107
38213	TRG-TCC6-1	100189511
38214	UBN1	29855
38215	hsa-mir-548ay	102465247
38216	TROB	10140
38217	LOC107985225	107985225
38218	CCDC41-AS1	144486
38219	KCNH2	3757
38220	FinGER8	90522
38221	LOC105376399	105376399
38222	HSPC182	29101
38223	COX8-2	1351
38224	RN7SL784P	106481134
38225	DOPPEL	23627
38226	CBF-B	4800|4801
38227	EMP55	4354
38228	beta-1	10678|146712
38229	HBII-85-27	100033439
38230	TRNAG13	100189141
38231	PCIA1	79016
38232	TPT1P9	389787
38233	ETF3A	2935
38234	B7H1	29126
38235	ACTR2	10097
38236	KCNJ1	3758
38237	RN7SL570P	106479430
38238	MIRN548K	100313770
38239	THH	7062
38240	RN7SL483P	106479399
38241	NYD-SP15	81602
38242	OA3	961|4936
38243	PDCD7	10081
38244	BTRCP2	23291
38245	EGFL6	25975
38246	RTEL1	51750
38247	OR4H5P	26322
38248	C11orf56	84067
38249	LOC105372082	105372082
38250	RPS18P12	388339
38251	NADK2	133686
38252	CCDS1	6535
38253	HL-3	1778
38254	LINC01205	401082
38255	NPBWR1	2831
38256	NKX1-1	54729
38257	STK33	65975
38258	C6orf52	347744
38259	Fbx6b	26270
38260	PHTF	10745
38261	300-KD	23524
38262	XYLT1	64131
38263	TMEM40	55287
38264	CI-B14.5b	4718
38265	H1s-3	3009
38266	JMJD1C-AS1	84989
38267	LOC105373897	105373897
38268	p19A	6500
38269	SLC25A51	92014
38270	RPS29_11_830	100132499
38271	FSL1	11167
38272	LOC147004	147004
38273	TXNDC17	84817
38274	IFNB	3456
38275	GVINP2	100128135
38276	FOLR3	2352
38277	RPS17P7	100271069
38278	GAPDP2	170516
38279	GAPDHP45	100240710
38280	DGK-GAMMA	1608
38281	CENPUP2	100419930
38282	GPIbalpha	2811
38283	HSPE1P7	100132346
38284	S-MAG	4099
38285	CYBB	1536
38286	mir-4651	100616270
38287	M6PR	4074
38288	MDDGC9	1605
38289	FAM90A27P	646508
38290	MIR4661	100616245
38291	FBXO30	55294|84085
38292	dJ447F3.6	140863
38293	LOC105371741	105371741
38294	LOC107984585	107984585
38295	hEFG2	84340
38296	RCDP1	5191
38297	LINC00279	100873963
38298	RPS29P9	648343
38299	MYLPF	29895
38300	LOC100533637	100533637
38301	RDGB1	9600
38302	RIPOR2	9750
38303	LOC105370688	105370688
38304	LOC107985439	107985439
38305	LOC111465018	111465018
38306	KCNJ9	3765
38307	GPR81	27198
38308	EVX-1	2128
38309	PRAMEF2	65122
38310	SFRP5	6425
38311	AGAP10P	653234
38312	LOC100420096	100420096
38313	PMPI	5824
38314	TRNAK7	100189051
38315	LOC105372699	105372699
38316	RN5S345	100873607
38317	RPL21P94	100271425
38318	MKRNP4	391033
38319	JCG4	120065
38320	ASGPR	432
38321	TSPYL4	23270
38322	CDC34B	54926
38323	RIG-B	9246
38324	PGDH	3248|26227
38325	MIR6125	102465133
38326	ZSCAN24	5178
38327	ncRNA-a4	100874253
38328	LINC02466	101927282
38329	SYND4	6385
38330	MIR4642	100616352
38331	PITSLRE	728642
38332	DBF4B	80174
38333	HS3ST3A1	9955
38334	UBXN10	127733
38335	OLAH	55301
38336	SMABF2	51008
38337	C3orf8	10217
38338	C21orf22	54089
38339	RNU1C2	26870
38340	HTRA4	203100
38341	BSZQTL	100188793
38342	CCL4L1	388372
38343	dJ402G11.3	23654
38344	MEKK7	6885
38345	CLPTM1	1209
38346	LOC101929224	101929224
38347	TRAG	23335
38348	ZNF8-ERVK3-1	108903150
38349	LINC02502	100996694
38350	C17orf109	643008
38351	LOC108228197	108228197
38352	XIST-AS	9383
38353	DUSP2	1844
38354	LINC01681	105371609
38355	LOH11CR1D	2230
38356	ASFMR1	100126270
38357	HMGA1-p	100130009
38358	OR10J1	26476
38359	CD83	9308
38360	PARK3	5072
38361	LOC105371434	105371434
38362	LC3A	84557
38363	NRU	5030
38364	HDHD3	81932
38365	ARTD4	143
38366	Hox-2.7	3213
38367	OR4Q4	441669
38368	LOC105375539	105375539
38369	TTC18	118491
38370	OMS	619538
38371	RPS24_8_1590	100271371
38372	GUCY1B2	2974
38373	MIR5787	102464817
38374	LOC109286556	109286556
38375	LOC110120759	110120759
38376	FANCD	675|2177
38377	LOC105373690	105373690
38378	EJM7	2563
38379	SNF7DC2	51510
38380	QPCT	25797
38381	CSM1	1674
38382	RDMS	755
38383	SLFNL1	200172
38384	HS3ST2	9956
38385	RNY4P21	100862663
38386	MYP6	9997
38387	SNORA40C	109616968
38388	PITPNA-AS1	100306951
38389	GTPBP6	8225
38390	OST003	127062
38391	CAF	8850
38392	LOC105371501	105371501
38393	TRP185	6894
38394	HCST	10870
38395	CXq28	100415893
38396	LOC105376828	105376828
38397	HSD-PLA2	5051
38398	dJ272L16.1	57172
38399	EIF4BP6	645579
38400	OR2AP1P	121129
38401	OI7	10491
38402	KIP4	130106
38403	RPS3A_17_1152	100271595
38404	SEMACAP3	23024
38405	PANK1	53354
38406	ATA1	81539
38407	CDK8PS	100419916
38408	PRSS43	100288960
38409	LOC105369428	105369428
38410	B2M	567
38411	CENP-Y	253635
38412	LINC00358	100874143
38413	FAM217AP1	100133062
38414	OGFR	11054
38415	LOC105375205	105375205
38416	LMP3	9260
38417	hACF1	11177
38418	hSrb7	9412
38419	AMPKa2	5563
38420	MIR3178	100422974
38421	pal3	100874009
38422	INTS13	55726
38423	p42IP4	11033
38424	BRPF3	27154
38425	LINC01788	101927244
38426	IGDCC5	283659
38427	HKSP	3832
38428	LOC102724916	102724916
38429	LOC110121023	110121023
38430	RN7SL656P	106481760
38431	LOC100129989	100129989
38432	RPL7AP29	100271043
38433	EEF1A	1915
38434	LOC102723709	102723709
38435	IGLJ-C/OR18	204777
38436	TREM5	124599
38437	C14orf170	56252
38438	CTSLL1	118945
38439	miRNA373	442918
38440	eIF3-zeta	8664
38441	MESTP3	645641
38442	LOC101928923	101928923
38443	UGT1A1	54658
38444	ATP5G1P6	100505704
38445	C20orf22	26090
38446	NAPEPLD	222236
38447	OC-2	9480
38448	RPS15P1	728428
38449	CS2	64084
38450	FNDC3CP	100421340
38451	LOC105377359	105377359
38452	FAM186B	84070
38453	MINOS1P4	100462957
38454	LNCSRLR	109729161
38455	GPKOW	27238
38456	SDR4E1	7264
38457	DD3	8644|10327|50652
38458	BCO3	6121
38459	LRRC18	474354
38460	NEB1	10898
38461	MLIP-AS1	100873951
38462	TRC-GCA9-2	100189413
38463	G12-like	58526
38464	LOC107984145	107984145
38465	ARCL2D	523
38466	TCTN3	26123
38467	LINC02072	440446
38468	HBSCI	6323|6326
38469	bA530N10.3	140881
38470	HEATR6	63897
38471	OTF3	5460
38472	LOC401261	401261
38473	TPT1P13	643421
38474	TMEM16M	101927546
38475	ZL5	106633808
38476	RNU1P7	26859
38477	NRG1-IT2	3084
38478	MIS18B	11339
38479	NIX	665
38480	LOC101927845	101927845
38481	CSF	1437|3918
38482	NLRP3	114548
38483	RPL7A_24_1075	340749
38484	GJD4	219770
38485	ARGFXP1	503583
38486	DBF4P1	645084
38487	DHX33	56919
38488	ENPP7P2	100421813
38489	FAM197Y3	107987341
38490	ORP-1	114876
38491	EST2	7015
38492	PPM3B	23035
38493	LOC105371269	105371269
38494	LRG	116844
38495	HEK8	2043
38496	HLA-HA8	9933
38497	CLK2	1196|9894
38498	GOSR1	9527
38499	LOC105377400	105377400
38500	IGHV756	28380
38501	IGKV2-14	28927
38502	H1s-2	3007
38503	MIRN515-2	574465
38504	LOC105377613	105377613
38505	SR-A	4481
38506	OPN	6696
38507	PRSS54	221191
38508	LOC105376621	105376621
38509	DUX4L48	107105251
38510	GRIM19	51079
38511	RNU6-66	100873770
38512	SLG	89858
38513	SLEN1	192677
38514	PRP21	10291
38515	STT3B	201595
38516	LOC105375101	105375101
38517	LOC107987175	107987175
38518	LOC107984418	107984418
38519	RMD4	151393
38520	C20orf52	140823
38521	SP001LA	64063
38522	FAM47A	158724
38523	CG6	23732
38524	FKSG55	400949
38525	LINKA	339535
38526	MIG	4283
38527	ALPHA-CP3	54039
38528	DEL17P13.1	100653374
38529	SERP2	387923
38530	CSTL1	128817
38531	UNQ729	93099
38532	GST-2	9435
38533	KCT-4	93185
38534	D3	1735
38535	HNRNPCP6	100421794
38536	2-10P	28456
38537	NR1F3	6097
38538	GPRK2L	2868
38539	MIR6507	102465253
38540	OR7A2	390894
38541	TEF2	8405
38542	FAM68A	9859
38543	LOC105373421	105373421
38544	Trk-A	4914
38545	AGAP4	119016
38546	CDA02	83939
38547	ANPRB	4882
38548	DSC92	51335
38549	LINC01438	106144527
38550	LOC111365215	111365215
38551	ACOD4	79966
38552	ESX1L	80712
38553	BA327L3.4	158373
38554	LOC111718491	111718491
38555	ACA63	677843
38556	ELK1P1	647102
38557	PHLL2	1408
38558	FRS2-beta	10817
38559	NDRG3	57446
38560	B4GAL-T1	2683
38561	TRBJ2-1	28629
38562	L56	5654
38563	DIF	7124
38564	UTP13	10607
38565	PAPD2	64852
38566	ZNF680P1	728947
38567	p75	1523|3059|6929|7133|11168|27036
38568	OR5M6P	79512
38569	ATBT	463
38570	ZFAT-AS	594840
38571	TEX2	55852
38572	LINC02365	105377586
38573	ALT1	2875|8847
38574	REC2	5890
38575	MDDC	1541
38576	SERPINB11	11029|89778
38577	LINC02309	105370607
38578	NSEP1P	50631
38579	LOC107984976	107984976
38580	SM25H2	10517|374286
38581	SCYA27	10850
38582	CHCHD2P3	100128110
38583	RPL35AP37	100128807
38584	IMPA1P1	650747
38585	ZBTB8OSP2	729898
38586	OR2-52	26479
38587	LOC107986939	107986939
38588	LOC105369341	105369341
38589	ANKHZN	51479
38590	TRNC	4511
38591	LOC102724881	102724881
38592	PCDH-GAMMA-A8	9708
38593	B7-H2	23308
38594	ATP6V1G1P5	100462840
38595	FSRG1	6046
38596	LINC00222	387111
38597	NUTM2F	54754
38598	NNO1	23691
38599	TRIM51FP	283257
38600	PLAC4	191585
38601	C11orf88	399949
38602	RFPL4AP3	106480810
38603	GALGP	6693
38604	HHYLTK	4145
38605	doc-1	8099
38606	GLUT6	11182|100128062
38607	C20orf106	200232
38608	HYPH	23390
38609	SKIP	22938|23207|51763|80309
38610	EPD1	1311
38611	LOC101927388	101927388
38612	RDGB-BETA	26207
38613	LOC100421863	100421863
38614	RPL31P13	100270983
38615	LOC105377677	105377677
38616	DAP2	9228
38617	U19H	724102
38618	LOC105370024	105370024
38619	GS-X	4363
38620	RPL37_1_4	100270828
38621	CNIL	10175
38622	RNU6-916P	106481468
38623	SAP90	1742
38624	NYD-SP28	85478
38625	hsa-mir-6754	102466728
38626	LOC107986794	107986794
38627	RPS2_14_1147	390206
38628	FAM216B	144809
38629	LOC107986438	107986438
38630	OOEP-AS1	106478938
38631	PDZRN2	84708
38632	RNU6-1071P	106481517
38633	SMIM27	100129250
38634	CGM12	1085
38635	OR11-241	390191
38636	SPP2	6694|130367
38637	IFNARB	3455
38638	LOC108281169	108281169
38639	PP14397	339123
38640	Necl-2	23705
38641	SH3GL1	6455
38642	TMEM6	58986
38643	C20orf190	140730
38644	KCTD5	54442
38645	GPR162	27239
38646	RPS4Y1	6192
38647	ZNF571	51276
38648	CRABPI	1381
38649	BBOX2	55217
38650	LOG12	239
38651	MIRN642	693227
38652	SRp25	51329
38653	LDB3	11155
38654	G28K	58480
38655	LOC91370	91370
38656	CCT5-3P	402226
38657	GDIL	2664
38658	EMX2-AS1	196047
38659	RANP4	100130621
38660	LOC107986488	107986488
38661	OPRL1	4987
38662	CARP1	80196
38663	LOC100422337	100422337
38664	CREBH	84699
38665	SLIT-1	6585
38666	ANKRD27	84079
38667	LOC729839	729839
38668	LOC105369236	105369236
38669	LOC105369606	105369606
38670	CENP-V	201161
38671	LNCRI	401296
38672	AIG1	51390
38673	RPLP2P4	100271347
38674	TRG-3	25813
38675	LURAP1L-AS1	101929467
38676	CORS26	114899
38677	CSDC1	23589
38678	PPM1-LIKE	151742
38679	GPR82	27197
38680	BLR2	1236
38681	GJA11	125111
38682	RNU6ATAC35P	106481171
38683	SNRPEP5	100874413
38684	RNU7-75P	100151672
38685	OSBPL3	26031
38686	zfp-90	146198
38687	mir-4516	100616258
38688	LOC105377262	105377262
38689	SLC3A2	6520
38690	UBE2SP2	440406
38691	SFTPB	6439
38692	MSUT-2	79882
38693	CGEF2	11069
38694	THRSP	7069
38695	LOC107984961	107984961
38696	AC40	9533
38697	NSP1	10045
38698	MIR1302-2	100302278
38699	CT84	55872
38700	RPL29_9_1124	732199
38701	LOC107984905	107984905
38702	ARMCX3-AS1	100128574
38703	GGTA2P	121328
38704	MGST3	4259
38705	LOC111982865	111982865
38706	OMR	498
38707	CD36L1	949
38708	MTCO3P46	107075293
38709	R3HDM2P1	100419742
38710	DSIPI	1831
38711	M9.2	8992
38712	P5N2	30833
38713	AUTL3	84938
38714	RPL31_30_1462	654387
38715	RPL5_11_750	389428
38716	miR-107	406901
38717	VN1R31P	100312787
38718	bA136M9.1	375519
38719	MIR1297	100302187
38720	DEFB131	644414
38721	ISG56	3434
38722	RN7SL457P	106481047
38723	MPS6	411
38724	HSCR4	1908
38725	OR10AE1P	81486
38726	TMEM112B	91289
38727	ZSCAN28	7626
38728	My012	51534
38729	LOH12CR3	54682
38730	PROS	5627
38731	LOC105371055	105371055
38732	LGALS7	3963|653499
38733	MTCYBP32	107075231
38734	RN7SL153P	106480490
38735	LOC105371864	105371864
38736	NEDD7	3301
38737	VEZF1P1	647319
38738	CNSA-P2	6459
38739	RARC	5916
38740	LOC112469013	112469013
38741	OBHD	4915
38742	LOC105374838	105374838
38743	RPLP1P2	729138
38744	MSTP3	11209
38745	HSPD1-19P	100462986
38746	RN5S491	100873733
38747	HNRPB1	3181
38748	TXNDC12-AS1	104355143
38749	HAP40	8263
38750	B7H2	23308
38751	NDF	3084
38752	MINOR	8013
38753	PPROM	871
38754	DEFB120	245932
38755	IGLVVII-41-1	84089
38756	LINC01961	101927424
38757	hsa-mir-548f-5	100302239
38758	ITGA9	3680
38759	FANCD1	675
38760	LINC00485	283432
38761	MFAP3	4238
38762	OR10D2P	26541
38763	SLC35E4	339665
38764	PRO34005	79875
38765	AKR1B15	441282
38766	SPRL3A	353144
38767	FARSLB	10056
38768	OR11K2P	401742
38769	BKLHD2	90293
38770	TRV-CAC1-4	100189541
38771	RPL37P3	378818
38772	NG6-4	4875
38773	MIRN548H1	100313830
38774	MSS51	118490
38775	hIAN7	168537
38776	IGLV2-18	28814
38777	LRRC29	26231
38778	MIR8063	102466875
38779	KOR	4986
38780	C17orf46	124783
38781	RINN2	54537
38782	PAB1	26986|285314
38783	DNM1	1759
38784	ANKRD39	51239
38785	PARP6	56965
38786	HMGB3	3149
38787	CYP4F34P	100422247
38788	dJ221C16.8	8339|8344
38789	LINC00607	646324
38790	RHOT1P2	100462811
38791	LOC110120621	110120621
38792	HumORF8	9101
38793	LOC111982866	111982866
38794	MDDGA1	10585
38795	RPS2_1_48	440589
38796	ARL2BPP2	643898
38797	LOC100132857	100132857
38798	MRMV3	10126
38799	RNY5P5	100379658
38800	ANKRD45	339416
38801	ZBTB17	7709
38802	FTLP9	100462780
38803	MIR2114	100313839
38804	TCRBV24S1A3T	28572
38805	DNM1P48	100418739
38806	ADRM1	11047
38807	LOC105370563	105370563
38808	LOC105374898	105374898
38809	DFNA3B	10804
38810	MANK	56172
38811	LRRC34	151827
38812	LOC105374312	105374312
38813	CLR19.6	204801
38814	WIG-1	64393
38815	LOC105378068	105378068
38816	Mib	9780
38817	RN5S476	100873718
38818	STISS	5718
38819	BCR-2	400892
38820	DIP2	10885|23181
38821	HSTPCR106	158131
38822	TRS30	7109
38823	KRT8P20	441218
38824	LOC107985340	107985340
38825	PAD4	23569
38826	MFRN	51312
38827	UNC13B	10497
38828	B5R.2	51700
38829	PROSER1	80209
38830	KCNC1	3746
38831	FRA6E	2405
38832	LOC105379539	105379539
38833	NANOG2	404635
38834	CABYR	26256
38835	ANKRD20A	84210
38836	PARG	8505
38837	ACA26	677771
38838	RNU6-1012P	106481500
38839	LOC101928323	101928323
38840	STX3	6809
38841	DNAL4	10126
38842	RP9P	441212
38843	ADAM19	8728
38844	LOC105375068	105375068
38845	ORCTL2	5002
38846	OOR	4987
38847	UAP	51271
38848	MIR103-1AS	100302238
38849	LEAP-2	116842
38850	RNU5E-10P	100873888
38851	mir-1-1	406904
38852	RPL39_17_1668	100271526
38853	MERTK	10461
38854	EEF1AL2	100421854
38855	hR-PTPu	5797
38856	LOC107987122	107987122
38857	LOC102723935	102723935
38858	ODG2	9210
38859	LOC100533677	100533677
38860	HCCRBP-3	140707
38861	HNRPD	3184
38862	MIRN373	442918
38863	PRO1038	55437
38864	DFF1	1676
38865	C2orf31	7855
38866	KCTD8	386617
38867	TCRBV9S2A2PT	28618
38868	hLAT1-3TM	81893
38869	hsa-mir-3670-1	100500910
38870	RPS25P3	100271101
38871	MIR3616	100500814
38872	C17orf98	388381
38873	MTCYBP26	107403065
38874	INTS2	57508
38875	hOAZ	23090
38876	ATP5C1P1	645560
38877	C12orf40	283461
38878	miRNA19A	406979
38879	CGI-30	51611
38880	NSL1	25936|284058
38881	IRX2NB	153571
38882	7L7	6032
38883	LOC105376031	105376031
38884	MPP9	10198
38885	RPL36A_23_1584	284230
38886	LOC101928909	101928909
38887	CD53	963
38888	ZNF743	25988
38889	ZRSR2	8233
38890	DEP.8	55635
38891	LOC112163618	112163618
38892	SIGLECP10	114185
38893	CFTRP2	107080633
38894	FABP5P2	729163
38895	MIR544A	664613
38896	gp46	871
38897	SMC2-AS1	101928550
38898	LOC107985222	107985222
38899	LOC105377540	105377540
38900	LYPD7	130576
38901	FAM106CP	100129396
38902	STT3-A	3703
38903	WSCR5	7462
38904	CHCHD2P7	100874509
38905	LOC107985998	107985998
38906	HLC14-06-P	3704
38907	MKL2	57496
38908	LOC105379266	105379266
38909	LOC105373358	105373358
38910	TAX1	6900
38911	D84394.2	100462812
38912	VIK	79027
38913	PTHSL2	9378
38914	E217K	7326
38915	LOC729800	729800
38916	LOC101060236	101060236
38917	PARP2	10038
38918	LOC101926953	101926953
38919	LOC105372721	105372721
38920	RBQ3	5929
38921	FucM	282969
38922	HBII-52-25	100033801
38923	MOCS3P1	326305
38924	LOC107985108	107985108
38925	HCF-2	29915
38926	SCYGR2	112441435
38927	MIR4688	100616368
38928	hsa-mir-8074	102465873
38929	H-CAD	800
38930	NTH1	4913
38931	XLOC_005327	101927171
38932	KRT8P48	100887067
38933	SEMA3A	10371
38934	SBBI10	25824
38935	RPL7_4_218	130728
38936	HSCRISP1G	167
38937	TRE-TTC16-1	100189210
38938	L38	6169
38939	HIP12	9026
38940	OR7E80P	8588
38941	PCTA-1	3964
38942	LOC284898	284898
38943	TMEM70	54968
38944	ZNF9	7555
38945	ZA20D2	7763
38946	LOC728416	728416
38947	CDA019	25928
38948	LOC100128531	100128531
38949	ABCA1	19
38950	TRKT3	10342
38951	S6	5704|6194
38952	SNORD56	26793
38953	NT5DC4	284958
38954	LOC107986155	107986155
38955	LOC112267888	112267888
38956	RPL17P29	100271154
38957	APSI	326
38958	SIASD	26503
38959	LOC107986948	107986948
38960	KRTAP22-2	100288287
38961	MRPL49P2	346711
38962	NHS-AS1	100873920
38963	LOC108281190	108281190
38964	PPH	2023
38965	CAPN12	147968
38966	LOC107987190	107987190
38967	HTRX1	4297
38968	SPINK14	408187
38969	CDK2AP2P1	100289027
38970	KAP9.8	83901
38971	LINC02092	400620
38972	CFAP39	492
38973	RPL23A_11_340	391504
38974	C5orf64	285668
38975	RNU6-443P	106481318
38976	NKp30	259197
38977	SLC25A20P1	789
38978	ZSWIM5P2	100132201
38979	GOLGA6L20	440295
38980	RPS6_3_713	100128450
38981	RNU6-556P	106481357
38982	ANXA10	11199
38983	INTL	55600
38984	RPL21_25_752	100271177
38985	SP2	6668
38986	GLUK6	2898
38987	MAP3K21	84451
38988	Zfp47	80317
38989	KAB	9859
38990	HSPE1P6	106480254
38991	COXVB	1329
38992	BRAK	9547
38993	bcm1723	100287880
38994	KLHL30-AS1	394261
38995	FAM90A12P	645879
38996	LOC112268087	112268087
38997	MLC-2s/v	4633
38998	Ly-GDI	397
38999	RN5S378	100873634
39000	NAV1.9	11280
39001	CACTIN-AS1	404665
39002	PDE3B	5140
39003	NCRNA00335	253868
39004	AXCAM	152330
39005	RNU6-393P	106481302
39006	C2orf1	9553
39007	LOC105370161	105370161
39008	LOC105370515	105370515
39009	hsa-mir-320b-1	100302117
39010	CSN2	1447|9318
39011	LOC100419036	100419036
39012	HCG15	414761
39013	LOC105371467	105371467
39014	RNU6-823P	106481441
39015	INDO	3620
39016	ERF3B	23708
39017	BKbeta1	3779
39018	JBTS29	84314
39019	LOC100421292	100421292
39020	MIR1262	100302279
39021	bHLHa24	150921
39022	GNT2	4247
39023	CTRCT29	101867602
39024	LOC105370289	105370289
39025	FSSV	7136
39026	LINC00532	732253
39027	FCF1P7	100422536
39028	LOC102724081	102724081
39029	TRBV4-2	28616
39030	TXI1	55815
39031	IP3-3KA	3706
39032	NPAL1	152519
39033	hPat1b	219988
39034	LOC107984204	107984204
39035	HBII-85-6	100033418
39036	HMGB1P26	645201
39037	MIR4669	100616236
39038	ONR1	8856
39039	RNU6-1256P	106480114
39040	LOC107984336	107984336
39041	PSMA2L	79055
39042	MIR3647	100113402
39043	RGS3	5998
39044	SNORA27	619499
39045	MK5	8550
39046	IGLJ	8217
39047	RPS26_10_512	728937
39048	SnoA	6498
39049	NOB1P	28987
39050	RPSA_13_513	100270916
39051	LYPD2	137797
39052	LOC107985736	107985736
39053	SNORD116-13	100033425
39054	LOC105376569	105376569
39055	CRS	7291
39056	hTMEM175	84286
39057	NBLST4	100306937
39058	HEL-S-34	5037
39059	OFD1PY19	386687
39060	LAMR1P2	442181
39061	ARL2BPP1	399666
39062	FAM90A23	645572
39063	LOC107984382	107984382
39064	MIR6073	102464826
39065	MAPKAPK3	7867
39066	GLT8D1	55830
39067	PSPC1P1	642395
39068	RNU6-920P	106481470
39069	NPHP5	9657
39070	SD1	57306
39071	LOC105373754	105373754
39072	RD	1867|5191|5264|7936|114625|161582
39073	PPP1R45	10142
39074	CD227	4582
39075	LOC108281133	108281133
39076	LOC392027	392027
39077	CMTRIA	54332
39078	FSAP33	57461
39079	C9orf154	158326
39080	DMRTC1	63947
39081	Oct4-pg5	100009667
39082	TMCO7	79613
39083	TPARM	54970
39084	CaCC-3	9635
39085	DEL1Q43Q44	100190984
39086	ENPEP	2028
39087	RPS3AP9	100271129
39088	HTX1	7547
39089	CRNR6	56143
39090	SELENOI	85465
39091	LOC105374120	105374120
39092	DJ39G22.4	1298
39093	GPR78	27201
39094	TRNAS27	100189430
39095	GPC6-AS1	100873972
39096	RPS24P2	326321
39097	FRK	2444
39098	RAX	8575|30062
39099	Era	2099
39100	GROb	2920
39101	RN5S481	100873723
39102	VLA-5	3678
39103	NADRIN	55114
39104	BOLA3P3	644754
39105	SGM1	392255
39106	MAFD4	100126593
39107	HERV-HD1	51359
39108	AYTL1	54947
39109	ATP5PDP2	138234
39110	NEIL3	55247
39111	GPC6	10082
39112	AIF-1	199
39113	MRX69	23697
39114	FIZ1	84922
39115	PRO1268	84314
39116	LY94	9437
39117	GFPT1L	2673
39118	AUF1B	8251
39119	PUMH1	9698
39120	SMAP	10902|10944|22920
39121	LOC102724960	102724960
39122	LOC102724520	102724520
39123	LINK-A	339535
39124	OR6C69P	403285
39125	LOC105372696	105372696
39126	MYBBP1A	10514
39127	OCAIA	7299
39128	LOC107985936	107985936
39129	BXDC4	92856
39130	LOC100419451	100419451
39131	LOC105372191	105372191
39132	DNAJC5B	85479
39133	TAS2R1	50834
39134	ADH1A	124
39135	NCMAP	400746
39136	LOC105373948	105373948
39137	LINC00608	151300
39138	LOC100286992	100286992
39139	MFGM	4240
39140	H3.3B	3021
39141	LOC112268319	112268319
39142	MIR320B1	100302117
39143	VAMP9P	112441439
39144	LOC107987462	107987462
39145	HA4	3885
39146	PDNP3	5169
39147	POP101	10250
39148	MIRN208	406990
39149	dJ383J4.3	91687
39150	PCOX1	5742
39151	IGLV321	28796
39152	KAP3.1	83896
39153	KU-MEL-1	80210
39154	OR7A20P	26335
39155	HEL163	22917
39156	PLCL3	23007
39157	CNTN2	6900
39158	TMX1	81542
39159	MIR3173	100422981
39160	TESTICAN	6695
39161	CBX8	57332
39162	RWDD1	51389
39163	SNORA7A	619563
39164	FASPS2	1453
39165	RNU6-1271P	106480120
39166	BAZ1	7761
39167	TPD54	7165
39168	LOC105376415	105376415
39169	OPTB4	1186
39170	muCL	823
39171	HMSNIA	5376
39172	hOSA1	8289
39173	LOC100506858	100506858
39174	LINC01069	101927176
39175	EIF5A2P1	100506058
39176	INS-IGF2	723961
39177	PRKAA1	5562
39178	IMP-3	10643|54928
39179	CML3	339983
39180	SR3	53349
39181	OR52Y2P	81240
39182	53BP1	7158
39183	dJ171N11.1	57221
39184	LOC645272	645272
39185	GPAT1	57678
39186	SCARNA5	677775
39187	OR7H2P	403301
39188	COFS2	2068
39189	LDS1C	4088
39190	LINC00176	284739
39191	hsa-mir-590	693175
39192	COXVIIa-L	1347
39193	CYP3A137P	107063543
39194	PR72	5523
39195	PREL1	54518
39196	LOC105377472	105377472
39197	LOC112268208	112268208
39198	LOC100130455	100130455
39199	ACVR1	90
39200	MRPS17P7	342776
39201	ZNF660-ZNF197	110354863
39202	LOC112268290	112268290
39203	CD329	27180
39204	LOC107986366	107986366
39205	ERVH-4	51359
39206	HAIP1	330
39207	PAPOLG	64895
39208	YWHAE	7531
39209	PPP1R73	80034
39210	GALT	2592
39211	PTP-PEST	5782
39212	CENPR	23421
39213	OR7E66P	26614
39214	KNOP1	400506
39215	MAGE-X2	4103
39216	TRIM16L	147166
39217	V4-5P	28762
39218	OR8-122	401692
39219	DMD	1756
39220	14q(II-16)	767594
39221	RPL32P27	100271306
39222	OCRL-1	4952
39223	LOC112081406	112081406
39224	CD272	151888
39225	DDX19	11269
39226	BTF3	689|10384
39227	iGNT	11041
39228	IEF-SSP-9502	11137
39229	ABIN2	79155
39230	Zif87	4150
39231	BW57	544630
39232	SEPT7A	989
39233	CC-1	6358
39234	TAFII55	6879
39235	AD034	83732
39236	LOC101926915	101926915
39237	lin-28A	79727
39238	SCIDX	3561
39239	ATP5PB	515
39240	GNB1	2782
39241	PPP1R58	1740
39242	DC-SIGN	30835
39243	PP35	11062
39244	SNORD104	692227
39245	ADGRF5P1	389740
39246	YWHAZP	319120
39247	LOC110740341	110740341
39248	Tieg3	8462
39249	HSPC183	28973
39250	RPL12P35	400389
39251	BK14H9.1	11120
39252	aiPLA2	9588
39253	LOC101928273	101928273
39254	EIF5A	1984
39255	CWS5	5290
39256	HIP14L	54503
39257	LINC02401	101929084
39258	FAM90A8P	441324
39259	MIR139-3p	406931
39260	LOC107986472	107986472
39261	KIAA0470L	645455
39262	OR1L3	26735
39263	SEP3	55964
39264	RPS4XP5	100271132
39265	mgU6-47	692076
39266	BuGZ	7756
39267	RAMP2	10266
39268	POLR3C	10623
39269	FAM155B	27112
39270	CTAGE7	119437
39271	RBBP4P2	100420527
39272	MLT1	10892
39273	EEF1A1P6	221838
39274	MAP2K4P1	139201
39275	LOC107984445	107984445
39276	LOC103908605	103908605
39277	LOC105373264	105373264
39278	RNU6-781P	106479911
39279	RNU6-162P	106481226
39280	RNF214	257160
